type,name,median_tau_score,description,ts_pc,belongs_to,id,pc,target
CP,fraxetin,41.59,anti-oxidative and anti-apoptotic agent,"0.65, 0.08",,BRD-K76587808,"10.00, 0.00",
CP,MDL-28170,41.56,"calpain inhibitor, cathepsin inhibitor","1.06, 0.32",,BRD-K43245338,"0.00, 0.00","CAPN1, CTSB, CTSL"
CP,nialamide,41.55,monoamine oxidase inhibitor,"1.83, 0.55",,BRD-K12102668,"20.00, 0.00","COMT, MAOA, MAOB"
CP,UBP-302,41.53,glutamate receptor antagonist,"0.94, 0.34",,BRD-A45499626,"0.00, 0.00",GRIK1
CP,eticlopride,41.39,dopamine receptor antagonist,"1.05, 0.25",,BRD-K50417881,"0.00, 0.00","DRD2, DRD3, DRD4"
CP,proadifen,41.37,"nitric oxide synthase inhibitor, cytochrome P450 inhibitor, potassium channel blocker","0.60, 0.16",,BRD-K46317332,"10.00, 10.00",NOS1
CP,QW-BI-011,41.37,histone lyinse methyltransferase inhibitor,"1.02, 0.31",,BRD-K72264770,"0.00, 0.00",EHMT2
CP,luzindole,41.34,melatonin receptor antagonist,"1.06, 0.34",,BRD-K67013324,"0.00, 0.00","MTNR1B, MTNR1A"
CP,parachlorophenol,41.31,disinfectant,"1.11, 0.33",,BRD-K40992116,"0.00, 0.00",
CP,digoxin,41.23,"ATPase inhibitor, ROR antagonist","2.18, 0.59",ATPase inhibitor,BRD-A94756469,"0.00, 0.00","ATP1A1, ABCB1, RORC, SLCO1B3"
CP,BRD-K78883024,-42.25,neuropeptide receptor antagonist,"0.82, 0.16",,BRD-K78883024,"22.22, 22.22",NPSR1
CP,pizotifen,-42.4,serotonin receptor antagonist,"0.60, 0.09",Serotonin receptor antagonist,BRD-K75958195,"0.00, 0.00","HTR2A, HTR1A, HTR2C"
CP,probucol,-42.41,"atherogenesis inhibitor, cholesterol inhibitor, reducing agent","1.40, 0.43",,BRD-K72029282,"10.00, 0.00","ABCA1, ABCB11, CES1"
CP,clobetasol,-42.44,glucocorticoid receptor agonist,"1.44, 0.73",Glucocorticoid receptor agonist,BRD-A26095496,"0.00, 0.00","NR3C1, PLA2G1B"
CP,VER-155008,-42.44,HSP inhibitor,"0.98, 0.36",,BRD-K32330832,"0.00, 0.00",HSPA1A
CP,linoleamide,-42.47,ACAT inhibitor,"1.16, 0.32",,BRD-K64044582,"0.00, 0.00","SOAT1, SOAT2"
CP,BRD-K73285375,-42.5,lipoxygenase inhibitor,"1.57, 0.51",,BRD-K73285375,"10.00, 0.00",
CP,cyclopamine,-42.56,"smoothened receptor antagonist, hedgehog pathway inhibitor","1.39, 0.55",,BRD-A02333338,"0.00, 0.00","SMO, DHH, IHH, PTCH1"
CP,fenpiverinium,-42.66,acetylcholine receptor antagonist,"1.18, 0.35",,BRD-K84566043,"0.00, 0.00",
CP,ketoconazole,-42.73,"14-alpha demethylase inhibitor, androgen receptor ligand, aromatase inhibitor, cell wall synthesis inhibitor, cortisol synthesis inhibitor, P glycoprotein inhibitor, sterol demethylase inhibitor","1.42, 0.35",,BRD-A76019558,"0.00, 0.00","AR, CYP19A1, CYP21A2, CYP2C19, CYP3A5, CYP3A7, KCNA10"
CP,ZD-7288,41.23,"HCN (hyperpolarization activated cyclic nucleotide gated) channel blocker, HCN channel antagonist, potassium channel antagonist, sodium channel blocker","1.08, 0.36",,BRD-K18678457,"0.00, 0.00","HCN1, HCN2, HCN3, HCN4"
CP,fluvoxamine,41.07,"selective serotonin reuptake inhibitor (SSRI), serotonin reuptake inhibitor, serotonin uptake inhibitor","0.50, 0.10",,BRD-K72676686,"0.00, 0.00","SLC6A4, CYP2C19"
CP,mevastatin,40.97,HMGCR inhibitor,"1.23, 0.18",HMGCR inhibitor,BRD-K94441233,"20.00, 10.00",HMGCR
CP,dofetilide,40.95,"polarization inhibitor, potassium channel antagonist, potassium channel blocker","1.25, 0.40",,BRD-K86887724,"12.50, 0.00","KCNH2, KCNH1, KCNJ12, KCNK2"
CP,nomilin,40.93,HSP inhibitor,"2.02, 0.62",,BRD-A09161221,"20.00, 20.00",
CP,PHA-793887,40.91,CDK inhibitor,"1.55, 0.68",CDK inhibitor,BRD-K64800655,"0.00, 0.00","CDK1, CDK2, CDK4, CDK5, CCND1, CCNE1, CDK7, CDK9"
CP,lobeline,40.86,"acetylcholine receptor antagonist, dopamine receptor modulator, opioid receptor antagonist, vesicular monoamine transporter ligand","0.76, 0.28",,BRD-K66206289,"0.00, 0.00","SLC18A2, CHRNA10, CHRNA4, CHRNA9, CHRNB2, OPRM1"
CP,NVP-AUY922,40.83,HSP inhibitor,"1.22, 0.41",HSP inhibitor,BRD-K41859756,"10.00, 10.00","HSP90AA1, HSP90AA2, HSP90AB1"
CP,nelfinavir,40.78,"HIV protease inhibitor, proteasome inhibitor","1.51, 0.41",,BRD-K74117820,"0.00, 0.00","CYP2C19, CYP3A5, CYP3A7"
CP,mesulergine,40.78,dopamine receptor agonist,"0.94, 0.19",,BRD-K91336023,"0.00, 0.00","HTR2A, HTR2C, HTR7, HTR2B, HTR3A, HTR3B, HTR6"
CP,bisindolylmaleimide,-41.87,"CDK inhibitor, PKC inhibitor, leucine rich repeat kinase inhibitor","0.73, 0.14",PKC inhibitor,BRD-K49448285,"0.00, 0.00","CCND1, CDK4, LRRK2, PDPK1, PIM1, PRKCA, PRKCB, PRKCI, PRKCZ"
CP,SB-216763,-41.92,glycogen synthase kinase inhibitor,"0.36, 0.17",Glycogen synthase kinase inhibitor,BRD-K59184148,"0.00, 0.00","GSK3B, CCNA2, CDK2, GSK3A"
CP,TUL-XXI039,-41.94,serine/threonine kinase inhibitor,"1.26, 0.35",,BRD-K22828899,"0.00, 0.00",
CP,beta-CCP,-42.05,"indoleamine 2,3-dioxygenase inhibitor","0.94, 0.25",,BRD-K85242180,"0.00, 0.00","GABRA1, GABRG2, IDO1"
CP,P-1075,-42.15,"ATP channel activator, potassium channel agonist","1.06, 0.25","KCNJ11 modulator, Potassium channel activator",BRD-K00206590,"0.00, 0.00",KCNJ8
CP,SR-95639A,-42.16,acetylcholine receptor agonist,"0.89, 0.15",,BRD-K19309090,"0.00, 0.00",CHRM1
CP,bosutinib,-42.22,"src inhibitor, Abl kinase inhibitor, Bcr-Abl kinase inhibitor, apoptosis stimulant, STAT inhibitor","1.28, 0.45",SRC inhibitor,BRD-K99964838,"0.00, 0.00","ABL1, SRC, BCR, CAMK2G, LYN, CAMK1D, CDK2, FRK, FYN, HCK, MAP2K1, MAP2K2, MAP3K2, MAP4K5, STK10, STK24, STK4, TNK2, TXK"
CP,parthenolide,-42.23,"NFkB pathway inhibitor, adiponectin receptor agonist","1.10, 0.26",,BRD-A66395008,"10.00, 10.00","ADIPOR2, IKBKB, RELA"
CP,ioxaglic-acid,-42.24,iodine contrast agent,"1.26, 0.44",,BRD-K79124250,"0.00, 0.00",
CP,BRD-K28452084,-42.25,opioid receptor agonist,"0.92, 0.22",,BRD-K28452084,"0.00, 0.00",OPRK1
CP,mirtazapine,40.73,"adrenergic receptor antagonist, serotonin receptor antagonist","0.50, 0.14",,BRD-A64977602,"0.00, 0.00","ADRA2A, HTR2A, HTR2C, ADRA2C, HTR3A, ADRA1A, ADRA1B, ADRA1D, ADRA2B, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD5, HRH1, HRH3, HTR2B, HTR7, OPRK1, SLC6A2, SLC6A3, SLC6A4"
CP,erastin,40.67,"anion channel modulator, ion channel antagonist","0.59, 0.35",,BRD-A25004090,"0.00, 0.00",VDAC2
CP,SKF-83566,40.56,dopamine receptor antagonist,"0.19, 0.01",,BRD-A52588987,"0.00, 0.00","DRD1, DRD5"
CP,myriocin,40.51,sphingolipid biosynthesis inhibitor,"0.90, 0.24",,BRD-A76279427,"0.00, 0.00","AKT1, SPTLC1, SPTLC2, SPTLC3"
CP,XMD-885,40.49,"leucine rich repeat kinase inhibitor, MAP kinase inhibitor","1.08, 0.56",Leucine rich repeat kinase inhibitor,BRD-K64857848,"10.00, 10.00","LRRK2, MAPK7"
CP,GDC-0879,40.47,RAF inhibitor,"1.20, 0.40",RAF inhibitor,BRD-K67578145,"10.00, 0.00",BRAF
CP,ticlopidine,40.47,"purinergic receptor antagonist, platelet aggregation inhibitor","1.24, 0.18",,BRD-K00603606,"10.00, 10.00","P2RY12, CYP2B6, CYP2C19"
CP,CDC,40.38,lipoxygenase inhibitor,"1.05, 0.38",,BRD-K10870738,"0.00, 0.00","ALOX12, ALOX5"
CP,tolazamide,40.3,ATP channel blocker,"0.97, 0.33",,BRD-K32164935,"0.00, 0.00","KCNJ1, KCNJ10"
CP,dihydroxyphenylglycine,40.3,glutamate receptor agonist,"1.77, 0.52",,BRD-A20589515,"0.00, 0.00",GRM1
CP,U-74389F,-41.4,lipid peroxidase inhibitor,"0.85, 0.34",,BRD-A96897502,"0.00, 0.00",
CP,hydroquinine,-41.43,anti-arrhythmia agent,"1.10, 0.39",,BRD-A78295502,"11.11, 11.11",
CP,mexiletine,-41.47,"sodium channel blocker, potassium channel blocker","0.61, 0.13",Sodium channel blocker,BRD-A64092382,"0.00, 0.00","SCN5A, AHR, CYP2B6, CYP2E1, KCNK2, KCNK3, SCN4A"
CP,DMEOB,-41.48,glutamate receptor modulator,"1.68, 0.51",,BRD-K31699485,"0.00, 0.00",
CP,cobalt(II)-chloride,-41.58,HSP agonist,"1.67, 0.59",HIF activator,BRD-K90864987,"0.00, 0.00",HIF1A
CP,temozolomide,-41.64,"DNA alkylating drug, DNA damage inducer, DNA inhibitor, topoisomerase inhibitor","0.50, 0.16",,BRD-K32107296,"0.00, 0.00",TOP2A
CP,GR-235,-41.67,"FXR antagonist, cholesterol inhibitor, estrogen receptor agonist, IKK inhibitor, progesterone receptor agonist, PXR agonist","1.27, 0.40",FXR antagonist,BRD-K26674531,"0.00, 0.00","ESR1, IKBKB, NR1H4, NR1I2, PGR"
CP,zolantidine,-41.78,histamine receptor antagonist,"1.06, 0.39",,BRD-K08996725,"0.00, 0.00",
CP,urapidil,-41.8,"adrenergic receptor antagonist, serotonin receptor agonist","1.93, 0.51",,BRD-K73196317,"0.00, 0.00",HTR1A
CP,sorafenib,-41.86,"RAF inhibitor, FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor, angiogenesis inhibitor, VEGFR antagonist","1.83, 0.52","FLT3 inhibitor, PDGFR/KIT inhibitor, RAF inhibitor, VEGFR inhibitor",BRD-K49810818,"0.00, 0.00","RET, BRAF, FLT3, KDR, RAF1, FLT1, FLT4, KIT, DDR2, FGFR1, PDGFRB, CYP2B6, CYP2C8, CYP3A5, PDGFB, SLCO1B3"
CP,MT-21,40.28,"adenine nucleotide translocase inhibitor, caspase activator, neurotrophic agent","0.67, 0.20",,BRD-A99449986,"10.00, 10.00","CYCS, SLC25A4"
CP,disulfiram,40.27,"aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPA1 agonist","1.80, 0.52",,BRD-K32744045,"0.00, 0.00","ALDH2, ALDH1A2, ALDH5A1, ALDH7A1, CYP2E1, DBH, DNMT1, TRPA1"
CP,NSC-632839,40.27,"ubiquitin hydrolase inhibitor, ubiquitin isopeptidase inhibitor","2.25, 0.61",,BRD-K37392901,"0.00, 0.00","USP2, USP7, SENP2, USP1"
CP,dicyclohexylurea,40.26,epoxide hydolase inhibitor,"1.08, 0.45",,BRD-K81521265,"10.00, 10.00",EPHX2
CP,MK-1775,40.23,wee1 kinase inhibitor,"1.75, 0.60",,BRD-K54256913,"20.00, 10.00",WEE1
CP,AS-601245,40.19,JNK inhibitor,"1.81, 0.65",,BRD-A60245366,"0.00, 0.00","GSK3B, MAPK10, MAPK8, MAPK9, PIM1"
CP,thioridazine,40.19,"acetylcholine receptor ligand, dopamine receptor, dopamine receptor antagonist, mucosa associated lymphoid tissue lymphoma translocation protein 1 (MALT1) inhibitor","1.84, 0.60",Dopamine receptor antagonist,BRD-A84481105,"0.00, 0.00","DRD1, DRD2, HTR2A, ADRA1A, ADRA1B, CHRNA7, DRD5, HRH1, HTR1A, HTR2C, HTR6, HTR7, KCNH2, MALT1"
CP,PIK-75,40.15,"DNA protein kinase inhibitor, P110 inhibitor, Phosphatidylinositol 3-kinase (PI3K) inhibitor, PI3K inhibitor","1.86, 0.69",PI3K inhibitor,BRD-M16762496,"0.00, 0.00","PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC"
CP,BIIB021,40.1,HSP inhibitor,"1.28, 0.52",HSP inhibitor,BRD-K51967704,"0.00, 0.00","AOX1, HSP90AA1"
CP,DPO-1,40.09,potassium channel blocker,"1.20, 0.36",Potassium channel blocker,BRD-K99922388,"0.00, 0.00",KCNA5
CP,flutamide,-41.08,androgen receptor antagonist,"0.97, 0.23",,BRD-K28307902,"0.00, 0.00","AR, AHR, CYP2C19"
CP,VU-0366037-2,-41.09,glutamate receptor modulator,"0.86, 0.16",,BRD-K39823328,"0.00, 0.00",GRM4
CP,cefaclor,-41.18,cell wall synthesis inhibitor,"0.98, 0.34",,BRD-K20338176,"0.00, 0.00",
CP,BRD-K79511609,-41.2,adenosine receptor agonist,"1.13, 0.27",,BRD-K79511609,"0.00, 0.00","ADORA1, ADORA2A, ADORA2B"
CP,nocodazole,-41.21,"tubulin inhibitor, Tubulin Polymerization Inhibitors","1.52, 0.57",Tubulin inhibitor,BRD-K12539581,"0.00, 0.00",HPGDS
CP,chlorpromazine,-41.26,"dopamine receptor, dopamine receptor antagonist, Kinesin-Like Spindle Protein  KIF11 (KSP, Eg5) Inhibitors","1.59, 0.63",Dopamine receptor antagonist,BRD-K89997465,"0.00, 0.00","DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, ADRA1A, ADRA1B, ADRA1D, CALM1, CHRM1, CHRM3, HRH4, HTR2B, KCNH2, KIF11, ORM1, ORM2, SMPD1, TRPC5"
CP,zebularine,-41.27,"DNA methyltransferase inhibitor, cytidine deaminase inhibitor","0.63, 0.20",,BRD-A01145011,"0.00, 0.00","CDA, DNMT1"
CP,lawsone,-41.32,coloring agent,"0.91, 0.26",,BRD-K66707493,"0.00, 0.00",
CP,tolterodine,-41.36,acetylcholine receptor antagonist,"1.59, 0.44",,BRD-K54316499,"0.00, 0.00","CHRM2, CHRM3, CHRM1, CHRM4, CHRM5"
CP,dinoprostone,-41.36,prostanoid receptor agonist,"0.90, 0.27",,BRD-K26521938,"0.00, 0.00","PTGER2, PTGER1, PTGER3, PTGER4, CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGDR2, PTGFR, TBXA2R"
CP,lypressin,40.09,vasopressin receptor agonist,"0.77, 0.24",,BRD-K93331255,"0.00, 0.00","AVPR1A, AVPR1B, AVPR2"
CP,BMS-299897,40.04,"gamma secretase inhibitor, antiamyloidogenic agent","1.18, 0.15",Gamma secretase inhibitor,BRD-K02950022,"0.00, 0.00",
CP,emetine,39.85,protein synthesis inhibitor,"3.28, 0.78",,BRD-K03067624,"12.50, 0.00",RPS2
CP,toltrazuril,39.83,anti-protozoal,"0.67, 0.16",,BRD-K64514229,"0.00, 0.00",
CP,methimazole,39.79,antithyroid Drugs,"0.90, 0.34",,BRD-K54416256,"22.22, 11.11",TPO
CP,rhamnetin,39.76,"aldose reductase inhibitor, JNK inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, p38 MAPK inhibitor","0.80, 0.28",,BRD-K37206356,"10.00, 0.00","ALOX5, MAPK8"
CP,thiorphan,39.64,membrane metalloendopeptidase inhibitor,"1.03, 0.25",,BRD-A56012032,"0.00, 0.00",MME
CP,homochlorcyclizine,39.61,antihistamine,"0.95, 0.22",,BRD-A22769835,"11.11, 11.11",HRH1
CP,itraconazole,39.58,"cell wall synthesis inhibitor, cytochrome P450 inhibitor, sterol demethylase inhibitor, VEGFR inhibitor","0.97, 0.13",,BRD-A34817987,"10.00, 0.00","CYP3A5, CYP3A7, CYP51A1, KDR"
CP,VAMA-37,39.57,"DNA dependent protein kinase, DNA dependent protein kinase inhibitor, PI3K inhibitor","1.39, 0.48",DNA dependent protein kinase inhibitor,BRD-K51018020,"0.00, 0.00",PRKDC
CP,H-89,-40.63,"AKT inhibitor, cAMP dependent protein kinase inhibitor, PKA inhibitor, voltage-gated potassium channel blocker","1.58, 0.55",PKA inhibitor,BRD-K27737647,"0.00, 0.00","PRKACA, GSG2, KCNA2, KCNA3, KCNA5, KCNAB2, KCNC1, KCNC2, KCNC3, KCNE1, KCNE2, KCNE3, KCNE4, KCNH1, KCNH2, KCNQ1, KCNQ2, KCNQ3, KCNQ5, KCNS3, PKIA"
CP,halcinonide,-40.72,glucocorticoid receptor agonist,"1.38, 0.75",Glucocorticoid receptor agonist,BRD-K81709173,"0.00, 0.00",NR3C1
CP,RS-102221,-40.72,serotonin receptor antagonist,"1.13, 0.25",,BRD-K87048468,"10.00, 10.00","HTR2C, HTR2A, HTR2B"
CP,brazilin,-40.76,"nitric oxide production inhibitor, nitric oxide synthase expression inhibitor, telomerase inhibitor","1.50, 0.50",,BRD-A83326220,"0.00, 0.00",
CP,diphencyprone,-40.78,immunostimulant,"1.84, 0.66",,BRD-K51730347,"0.00, 0.00",
CP,salbutamol,-40.83,adrenergic receptor agonist,"1.44, 0.41",,BRD-A88254928,"0.00, 0.00","ADRB2, ADRB1"
CP,guggulsterone,-40.84,"estrogen receptor agonist, FXR antagonist, progesterone receptor agonist, cholesterol inhibitor, IKK inhibitor, PXR agonist","1.39, 0.27",FXR antagonist,BRD-A59808129,"0.00, 0.00","NR1H4, PGR, AR, ESR1, IKBKB, NR1I2, NR3C1, NR3C2"
CP,calpeptin,-40.92,"calpain inhibitor, proteasome inhibitor, tyrosine phosphatase inhibitor","1.36, 0.52",,BRD-A84045418,"0.00, 0.00",
CP,JNJ-16259685,-41.02,glutamate receptor antagonist,"1.05, 0.33",,BRD-K64670467,"0.00, 0.00",GRM1
CP,forskolin,-41.07,"adenylyl cyclase activator, Adenylate cyclase stimulant, growth hormone receptor agonist, phosphokinase stimulant","1.24, 0.48",,BRD-A70449690,"0.00, 0.00","ADCY2, ADCY5, GNAS"
CP,triptolide,39.56,RNA polymerase inhibitor,"1.88, 0.72",,BRD-K39484304,"0.00, 0.00","CYP2C19, RELA"
CP,vardenafil,39.55,phosphodiesterase inhibitor,"0.99, 0.28",,BRD-K13926615,"0.00, 0.00","PDE5A, CYP2C19, CYP2C8, CYP3A5, PDE6G, PDE6H"
CP,BAY-K8644,39.5,L-type calcium channel activator,"1.02, 0.26",,BRD-K14329163,"0.00, 0.00",CACNA1C
CP,LE-300,39.42,"dopamine receptor antagonist, dopamine receptor ligand, serotonin receptor ligand","0.65, 0.20",,BRD-K01648091,"0.00, 0.00","DRD5, DRD1, HTR2A"
CP,5-iodotubercidin,39.41,"adenosine kinase inhibitor, nucleoside transporter inhibitor","4.91, 1.55",,BRD-A18497530,"0.00, 0.00","MAPK3, ADK, CSNK1G2, GSG2, LRRK2"
CP,BRD-A81377415,39.4,"CLK inhibitor, dual specificity tyrosine-(Y)-phosphorylation regulated kinase inhibitor, dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B inhibitor","1.41, 0.33",,BRD-A81377415,"0.00, 0.00","CLK1, CLK4, DYRK1A, DYRK1B"
CP,ormetoprim,39.4,antibiotic,"1.85, 0.74",,BRD-K25310650,"0.00, 0.00",
CP,puromycin,39.4,"adenosine receptor agonist, protein synthesis inhibitor","2.40, 0.51",Protein synthesis inhibitor,BRD-A28970875,"0.00, 0.00","NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1"
CP,HU-211,39.39,"glutamate receptor antagonist, apoptosis stimulant, NFkB pathway inhibitor, reducing agent","2.10, 0.49",,BRD-A15010982,"11.11, 0.00","CNR1, CNR2, GLRA1, GLRA2, GLRA3, GPR55, GRIN1, NFKB1"
CP,evodiamine,39.38,"ATPase inhibitor, TRPV agonist","0.84, 0.34",,BRD-A68631409,"10.00, 10.00",TRPV1
CP,SC-19220,-40.41,prostanoid receptor antagonist,"1.01, 0.36",,BRD-K52512893,"0.00, 0.00",PTGER1
CP,ginsenoside,-40.41,steroidal receptor agonist,"1.13, 0.31",,BRD-A65550283,"10.00, 10.00",
CP,montelukast,-40.45,leukotriene receptor antagonist,"0.89, 0.22",,BRD-K69470111,"12.50, 12.50","CYSLTR1, ALOX5, CYP2C8"
CP,parthenolide,-40.45,"NFkB pathway inhibitor, adiponectin receptor agonist","1.69, 0.69",,BRD-K28120222,"0.00, 0.00","ADIPOR2, IKBKB, RELA"
CP,alaproclate,-40.47,"serotonin receptor antagonist, serotonin reuptake inhibitor","0.58, 0.13",,BRD-A14966924,"0.00, 0.00",SLC6A4
CP,raltitrexed,-40.49,"thymidylate synthase inhibitor, pyrimidine antagonist","0.86, 0.26",Thymidylate synthase inhibitor,BRD-K89839824,"0.00, 0.00","TYMS, FPGS"
CP,westcort,-40.52,corticosteroid,"1.26, 0.47",Glucocorticoid receptor agonist,BRD-A23290232,"0.00, 0.00",
CP,mepacrine,-40.56,"NFkB pathway inhibitor, cytokine production inhibitor, TP53 expression enhancer, acetylcholinesterase inhibitor, AKT inhibitor, apoptosis stimulant, DNA inhibitor, mTOR inhibitor, phospholipase inhibitor, PI3K inhibitor, secretory phospholipase inhibitor, TP53 activator","1.22, 0.24",NFkB pathway inhibitor,BRD-A45889380,"0.00, 0.00","TP53, AKT1, MTOR, NFKB1, PLA2G1B, PLA2G2A, PLA2G2D, PLA2G4A, PLA2G6, PLCL1"
CP,entacapone,-40.56,catechol O methyltransferase inhibitor,"1.48, 0.48",,BRD-K83636919,"0.00, 0.00",COMT
CP,wiskostatin,-40.59,neural Wiskott-Aldrich syndrome protein inhibitor,"1.68, 0.72",,BRD-A18579359,"10.00, 0.00","WAS, WASL"
CP,galantamine,39.36,"acetylcholinesterase inhibitor, acetylcholine receptor agonist, butyrylcholinesterase inhibitors","1.66, 0.57",,BRD-K49481516,"12.50, 0.00","ACHE, BCHE, CHRNA1, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB1, CHRNB2, CHRNB3, CHRNB4, CHRND, CHRNE, CHRNG"
CP,BRD-K24127443,39.34,lipoxygenase inhibitor,"1.28, 0.31",,BRD-K24127443,"0.00, 0.00",
CP,"4,5-dianilinophthalimide",39.33,"EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor","0.84, 0.35",EGFR inhibitor,BRD-K13087974,"10.00, 0.00",EGFR
CP,chromomycin-a3,39.32,DNA binding,"1.43, 0.64",,BRD-A11702965,"0.00, 0.00",
CP,metformin,39.29,"insulin sensitizer, AMPK activator, biguanide, gluconeogenesis inhibitor","1.72, 0.47",,BRD-K79602928,"0.00, 0.00","ACACB, INS, PRKAB1"
CP,nitrendipine,39.28,"calcium channel blocker, L-type calcium channel blocker","0.77, 0.17",,BRD-A02006392,"0.00, 0.00","CACNA1C, CACNA1D, CACNA2D1, CACNA1H, CACNA1S, CACNA2D2, CACNB2, CACNG1, KCNN4"
CP,corticosterone,39.2,mineralocorticoid receptor agonist,"1.63, 0.55",,BRD-K73589401,"10.00, 10.00","HSD11B1, NR3C2, NCOA1"
CP,torasemide,39.14,"cytochrome P450 antagonist, diuretic, electrolyte reabsorption inhibitor, thromboxane receptor antagonist","0.84, 0.23",,BRD-K30480208,"0.00, 0.00","SLC12A1, CYP2C8, SLC12A2"
CP,diphemanil,38.9,acetylcholine receptor antagonist,"0.84, 0.31",,BRD-K93441486,"11.11, 0.00",CHRM3
CP,targinine,38.83,nitric oxide synthase inhibitor,"2.35, 0.69",,BRD-K22227508,"0.00, 0.00","NOS2, NOS3"
CP,naftidrofuryl,-39.99,adrenergic receptor antagonist,"1.30, 0.57",,BRD-A67862938,"10.00, 0.00",
CP,dioxybenzone,-40.01,topical sunscreen agent,"0.84, 0.14",,BRD-K22193694,"0.00, 0.00",
CP,pyrimethamine,-40.02,"dihydrofolate reductase inhibitor, hexosaminidase stimulant, pharmacological chaperone, STAT inhibitor","0.51, 0.06",Dihydrofolate reductase inhibitor,BRD-K88429204,"0.00, 0.00","DHFR, DHFRP1, HEXA, SLC47A1, STAT3"
CP,methoxsalen,-40.03,"acetylcholinesterase inhibitor, cytochrome P450 inhibitor, DNA damaging, DNA synthesis inhibitor, immunosuppressant","1.16, 0.31",,BRD-K63430059,"0.00, 0.00","ACHE, CYP1A2"
CP,desoxycortone,-40.03,mineralocorticoid receptor agonist,"1.17, 0.31",,BRD-K98521173,"0.00, 0.00","NR3C1, NR3C2"
CP,Y-134,-40.14,"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)","1.28, 0.23",Estrogen receptor antagonist,BRD-K94832621,"0.00, 0.00","ESR1, ESR2"
CP,L-152804,-40.27,neuropeptide receptor antagonist,"0.95, 0.26",,BRD-A42553870,"0.00, 0.00",NPY5R
CP,VU-0400071-3,-40.29,glutamate receptor modulator,"1.52, 0.31",,BRD-A57457122,"10.00, 10.00",GRM4
CP,PP-1,-40.36,"src inhibitor, Abl kinase inhibitor","1.75, 0.64",SRC inhibitor,BRD-K47598052,"0.00, 0.00","HCK, RET, SRC"
CP,phenelzine,-40.36,monoamine oxidase inhibitor,"0.74, 0.17",,BRD-K87024524,"10.00, 10.00","MAOB, AOC3, MAOA, ABAT, GAD2, GPT, GPT2, SLC6A2, SLC6A3, SLC6A4"
CP,HTMT,38.8,histamine receptor agonist,"1.00, 0.24",,BRD-A66435872,"0.00, 0.00",HRH4
CP,lestaurtinib,38.71,"FLT3 inhibitor, growth factor receptor inhibitor, JAK inhibitor, apoptosis stimulant","3.09, 0.86","FLT3 inhibitor, JAK inhibitor",BRD-K23192422,"0.00, 0.00","FLT3, NTRK1, JAK2, NTRK2, NTRK3"
CP,isoeugenol,38.68,nitric oxide production inhibitor,"1.83, 0.56",,BRD-K05737787,"0.00, 0.00",
CP,rotenonic-acid,38.65,RAR antagonist,"0.84, 0.23",,BRD-K34330170,"10.00, 0.00",
CP,brucine,38.63,glycine receptor antagonist,"0.60, 0.14",,BRD-A41995253,"0.00, 0.00","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5"
CP,SB-269970,38.61,serotonin receptor antagonist,"0.86, 0.31",,BRD-K24201553,"0.00, 0.00",HTR7
CP,calyculin,38.58,protein phosphatase inhibitor,"2.60, 0.66",,BRD-A47513740,"11.11, 11.11","PPP1CA, PPP1CC, PPP2CA"
CP,FG-7142,38.52,GABA benzodiazepine site receptor inverse agonist,"0.82, 0.26",,BRD-K61951118,"11.11, 0.00",
CP,ICI-89406,38.52,adrenergic receptor antagonist,"1.63, 0.44",,BRD-A03359064,"10.00, 10.00","ADRB1, ADRB2"
CP,fenobam,38.49,glutamate receptor antagonist,"0.82, 0.31",,BRD-K41160163,"10.00, 0.00",GRM5
CP,ondansetron,-39.63,serotonin receptor antagonist,"0.45, 0.02",,BRD-A19736161,"0.00, 0.00","HTR3A, CYP2D6, CYP3A5, HTR1A, HTR1B, HTR3B, HTR4, OPRM1"
CP,R-96544,-39.71,serotonin receptor antagonist,"1.30, 0.28",Serotonin receptor antagonist,BRD-K15588452,"0.00, 0.00",HTR2A
CP,SB-525334,-39.76,TGF beta receptor inhibitor,"1.60, 0.44",TGF beta receptor inhibitor,BRD-K37720887,"0.00, 0.00",TGFBR1
